Sr.No,Book name,Publisher,Author,Year
1,"Numerical Python: Scientific Computing and Data Science Applications with Numpy, SciPy and Matplotlib",Apress,Robert Johansson,2019
2,"Data Analytics: Practical Guide to Leveraging the Power of Algorithms, Data Science, Data Mining, Statistics, Big Data, and Predictive Analysis to Improve Business, Work, and Life",nan,Arthur Zhang,2017
3,"Data Analysis From Scratch With Python: Beginner Guide using Python, Pandas, NumPy, Scikit-Learn, IPython, TensorFlow and Matplotlib",AI Sciences LLC,Peters Morgan,2018
4,Python Data Science Handbook.  Essential Tools for Working with Data,O'Reilly Media,Jake VanderPlas,2016
5,"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data",O’Reilly Media,"Hadley Wickham, Garrett Grolemund",2017
6,Data Science with R A Step By Step Guide With Visual Illustrations and Examples,Andrew Oleksy,Andrew Oleksy,2018
7,Data Science for Business: What You Need to Know About Data Mining and Data-Analytic Thinking,O'Reilly Media,"Foster Provost, Tom Fawcett",2013
8,The Art of Data Science: A Guide for Anyone Who Works with Data,nan,"Roger D. Peng, Elizabeth Matsui",2015
9,"Introducing Data Science: Big Data, Machine Learning, and more, using Python tools",Manning Publications,"Davy Cielen, Arno Meysman, Mohamed Ali",2016
10,Machine Learning: The Art and Science of Algorithms that Make Sense of Data,Cambridge University Press,Peter Flach,2012
11,Data Science For Dummies,John Wiley & Sons,Lillian Pierson,2015
12,"Python Data Science: The Ultimate Handbook for Beginners on How to Explore NumPy for Numerical Data, Pandas for Data Analysis, IPython, Scikit-Learn and Tensorflow for Machine Learning and Business",Steve Blair,Steve Blair,2019
13,Practical Web Scraping for Data Science: Best Practices and Examples with Python,Apress,"Seppe vanden Broucke, Bart Baesens",2018
14,Analytics in a Big Data World: The Essential Guide to Data Science and its Applications,Wiley,Bart Baesens,2014
15,Statistics: The Art and Science of Learning from Data,Pearson,"Christine A. Franklin, Bernhard Klingenberg, Alan Agresti",2017
16,Principles of Data Science,nan,Sinan Ozdemir,2016
17,Data Science,The MIT Press,"John D. Kelleher, Brendan Tierney",2018
18,The data science handbook,John Wiley & Sons,"Cady, Field",2017
19,Applied Data Science with Python and Jupyter,Packt Publishing,Alex Galea,2018
20,"Data Science and Big Data Analytics: Discovering, Analyzing, Visualizing and Presenting Data",Wiley,EMC Education Services,2015
21,"An Introduction to Data: Everything You Need to Know About AI, Big Data and Data Science",Springer International Publishing,Francesco Corea,2019
22,Advanced Data Science and Analytics with Python,CRC Press,Jesús Rogel-Salazar,2020
23,"AI in Marketing, Sales and Service: How Marketers without a Data Science Degree can use AI, Big Data and Bots",Palgrave Macmillan,Peter Gentsch,2018
24,500 Most Important Data Science Interview Questions and Answers,Indian Wolf Publications,Vamsee Puligadda,2018
25,Practical Data Science with R,Manning Publications,"Nina Zumel, John Mount",2014
26,"Intro to Python forComputer Science and Data Science : Learning to Program with AI, Big Data and the Cloud",nan,Paul Deitel,2020
27,Data Visualization and Exploration with R - A Practical Guide to Using R RStudio and Tidyverse for Data Visualization Exploration and Data Science Applications,Geospatial Training Services,Eric Pimpler,2017
28,"Convolutional Neural Networks in Python: Master Data Science and Machine Learning with Modern Deep Learning in Python, Theano, and TensorFlow (Machine Learning in Python)",LazyProgrammer.me,LazyProgrammer,2016
29,"Linux: This Book Includes 4 Manuscripts. The Underground Bible to the UNIX Operating System with Tools On Security and Kali Hacking to Understand Computer Programming, Data Science and Command Line",nan,"Growth, Darwin",2020
30,120 real data science interview questions,nan,"Carl Shan, Max Song, Henry Wang, And  William Chen",2015
31,Data Science from Scratch: First Principles with Python,nan,Joel Grus,nan
32,Data Science Programming All-In-One For Dummies,John Wiley & Sons,"John Paul Mueller, Luca Massaron",2020
33,"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control",Cambridge University Press,"Steven L. Brunton, J. Nathan Kutz",2019
34,"The Decision Maker’s Handbook To Data Science: A Guide For Non-Technical Executives, Managers, And Founders",Apress,Stylianos Kampakis,2020
35,Probability and Statistics for Data Science: Math + R + Data,CRC Press,Norman S. Matloff,2020
36,Machine Learning and Data Science Blueprints for Finance: From Building Trading Strategies to Robo-Advisors Using Python,O'Reilly Media,"Hariom Tatsat, Sahil Puri, Brad Lookabaugh",2020
37,Big Data MBA Driving Business Strategies with Data Science,nan,Schmarzo B.,nan
38,Data Structures and Algorithms with Python: Undergraduate Topics in Computer Science,Springer,"Kent Lee, Steve Hubbard",2015
39,"Big Data, Cloud Computing, Data Science & Engineering",Springer International Publishing,Roger Lee,2019
40,"Python for Data Science, 2nd Edition",Wiley,"John Paul Mueller, Luca Massaron",2019
41,Build a Career in Data Science,Manning,"Emily Robinson, Jacqueline Nolis",2020
42,Data Science from Scratch: First Principles with Python,O'Reilly Media,Joel Grus,2015
43,"Business Intelligence, Analytics, and Data Science: A Managerial Perspective",Pearson,"Ramesh Sharda, Dursun Delen, Efraim Turban",2017
44,Machine Learning: 2 Books in 1: An Introduction Math Guide for Beginners to Understand Data Science Through the Business Applications,nan,"Hack, Samuel",2020
45,"Fraud analytics using descriptive, predictive, and social network techniques : a guide to data science for fraud detection",John Wiley & Sons,"Bart Baesens, Veronique Van Vlasselaer, Wouter Verbeke",2015
46,Doing Data Science: Straight Talk from the Frontline,O'Reilly Media,"Rachel Schutt, Cathy O'Neil",2013
47,The Enterprise Big Data Lake: Delivering the Promise of Big Data and Data Science,O’Reilly Media,Alex Gorelik,2019
48,Data Science and Big Data Analytics,Springer Singapore,"Durgesh Kumar Mishra, Xin-She Yang, Aynur Unal",2019
49,"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud",Pearson,"Paul J. Deitel, Harvey Deitel",2020
50,"Natural Language Processing in Python: Master Data Science and Machine Learning for spam detection, sentiment analysis, latent semantic analysis, and article spinning (Machine Learning in Python)",LazyProgrammer,Unknown,2016
51,Data Science from Scratch: First Principles with Python,O'Reilly Media,Joel Grus,2019
52,A Hands-On Introduction to Data Science,Cambridge University Press,Chirag Shah,2020
53,MALWARE DATA SCIENCE  Attack Detection and Attribution,No Starch Press,Joshua Saxe,2018
54,Data Science Strategy For Dummies,Wiley,Ulrika Jägare,2019
55,Data Science with Julia,CRC Press,"Paul D. McNicholas, Peter A. Tait",2019
56,Practical Data Science With R,Manning Publications,"Nina Zumel, John Mount, Jeremy Howard, Rachel Thomas",2020
57,"Parallel computing for data science : with examples in R, C++ and CUDA",CRC Press,"Matloff, Norman S.",2016
58,"It's All Analytics!: The Foundations of AI, Big Data, and Data Science Landscape for Professionals in Healthcare, Business, and Government",CRC Press,"Scott Burk, Gary D. Miner",2020
59,"PYTHON: Learn Coding Programs with Python Programming and Master Data Analysis & Analytics, Data Science and Machine Learning with the Complete Python for Beginners Crash Course - 4 Books in 1",nan,"Academy, Tech Ed",2020
60,"Univariate, Bivariate, and Multivariate Statistics Using R: Quantitative Tools for Data Analysis and Data Science",Wiley,Daniel J. Denis,2020
61,Data science : fondamentaux et études de cas : Machine learning avec Python et R,Eyrolles,"Eric Biernat, Michel Lutz, Yann LeCun",2015
62,Docker for Data Science: Building Scalable and Extensible Data Infrastructure Around the Jupyter Notebook Server,Apress,Joshua Cook,2017
63,Hands-on data science and Python machine learning : perform data mining and machine learning efficiently using Python and Spark,Packt Publishing - ebooks Account,Frank Kane,2017
64,Foundations of Data Science,Cambridge University Press,"Avrim Blum, John Hopcroft, Ravindran Kannan",2020
65,"Data science from scratch: the #1 data science guide for everything a data scientist needs to know: Python, linear algebra, statistics, coding, applications, neural networks, and decision trees",Steven Cooper;Data Science,"Cooper, Steven",2018
66,"Detecting regime change in computational finance: data science, machine learning and algorithmic trading",CRC Press,"Chen, Jun, Tsang, Edward",2021
67,Data Science in Production: Building Scalable Model Pipelines with Python,Independently published,Ben G Weber,2020
68,Data Science do zero: Primeiras regras com o Python,Alta Books,Joel Grus,2016
69,Hands-on Scikit-Learn for Machine Learning Applications: Data Science Fundamentals with Python,Apress,David Paper,2019
70,Practical Data Science with Python 3,Apress,Ervin Varga,2019
71,"Unsupervised Machine Learning in Python: Master Data Science and Machine Learning with Cluster Analysis, Gaussian Mixture Models, and Principal Components Analysis",LazyProgrammer,Lazy Programmer,2016
72,"Python Programming: 3 BOOKS IN 1 Learn machine learning, data science and analysis with a crash course for beginners. Included coding exercises for artificial intelligence, Numpy, Pandas and Ipython.",nan,"Test, Jason",2020
73,"Data Science for Beginners: 4 Books in 1: Python Programming, Data Analysis, Machine Learning. A Complete Overview to Master The Art of Data Science From Scratch Using Python for Business",nan,Andrew Park,2020
74,A collection of Data Science Interview Questions Solved in Python and Spark: Hands-on Big Data and Machine Learning,CreateSpace Independent Publishing Platform,Antonio Gulli,2015
75,Data Science on the Google Cloud Platform,O’Reilly Media,Valliappa Lakshmanan,2018
76,Learning from Data Made Easy with R: A Gentle Introduction for Data Science,nan,Lewis N.D.,nan
77,Charting the Next Pandemic: Modeling Infectious Disease Spreading in the Data Science Age,Springer,"Ana Pastore y Piontti, Nicola Perra, Luca Rossi, Nicole Samay, Alessandro Vespignani",2018
78,Data Smart: Using Data Science to Transform Information into Insight,Wiley,John W. Foreman,2013
79,"Programming Skills for Data Science: Start Writing Code to Wrangle, Analyze, and Visualize Data with R, First Edition",Addison-Wesley Professional,Michael Freeman & Joel Ross [Michael Freeman],2018
80,Beginning Data Science with Python and Jupyter,Packt Publishing,Alex Galea,2018
81,"Business Data Science: Combining Machine Learning and Economics to Optimize, Automate, and Accelerate Business Decisions",nan,Matt Taddy [Matt Taddy],2019
82,JavaScript for Data Science,CRC Press,"Maya Gans, Toby Hodges, Greg Wilson",2020
83,Think Like a Data Scientist: Tackle the Data Science Process Step-by-Step,Manning Publications,Brian Godsey,2017
84,Practical DataOps: Delivering Agile Data Science At Scale,Apress,Harvinder Atwal,2020
85,"Deep Learning in Python: Master Data Science and Machine Learning with Modern Neural Networks written in Python, Theano, and TensorFlow",LazyProgrammer,LazyProgrammer,2016
86,Algorithms for Data Science,Springer,"Brian Steele, John Chandler, Swarna Reddy",2017
87,"Learn RStudio IDE: Quick, Effective, and Productive Data Science",Apress,Matthew Campbell,2019
88,Marketing Data Science: Modeling Techniques in Predictive Analytics with R and Python,PH Professional Business,Thomas W. Miller [Thomas W. Miller],2015
89,Hands-On Data Science with Anaconda,Packt Publishing,"Yuxing Yan, James Yan",2018
90,Data Science Fundamentals for Python and MongoDB,Apress,David Paper,2018
91,Malware Data Science: Attack Detection And Attribution,No Starch Press,"Joshua Saxe, Hillary Sanders",2018
92,"PYTHON FOR DATA SCIENCE: Guide to computer programming and web coding. Learn machine learning, artificial intelligence, NumPy and Pandas packages for data analysis. Step-by-step exercises included.",nan,Jason  Test,2020
93,R Programming for Data Science,[Leanpub],Roger D. Peng,2015
94,The Applied Data Science Workshop - Second Edition: Get started with the applications of data science and techniques to explore and assess data effectively,Packt Publishing - ebooks Account,Alex Galea,2020
95,"Introduction to Data Science.  A Python Approach to Concepts, Techniques and Applications",Springer,"Laura Igual, Santi Segu",2017
96,Practical Data Science with SAP: Machine Learning Techniques for Enterprise Data,O’Reilly Media,"Greg Foss, Paul Modderman",2019
97,"Data Science For Dummies, 2nd Edition",John Wiley & Sons,Lillian Pierson,2017
98,"Computer Age Statistical Inference: Algorithms, Evidence, and Data Science",Cambridge University Press,"Bradley Efron, Trevor Hastie",2016
99,Data Science in Practice,Springer International Publishing,"Alan Said, Vicenç Torra",2019
100,"Machine Learning: 2 Books in 1: Machine Learning for Beginners, Machine Learning Mathematics. An Introduction Guide to Understand Data Science Through the Business Application",nan,"Samuel Hack [Hack, Samuel]",2019
101,Julia Quick Syntax Reference: A Pocket Guide for Data Science Programming,Apress,Antonello Lobianco,2019
102,Machine Learning and Data Science: An Introduction to Statistical Learning Methods with R,Technics Publications,Daniel D. Gutierrez,2015
103,"COMPUTER PROGRAMMING 4 Books In 1: Data Science, Hacking with Kali Linux, Computer Networking for Beginners, Python Programming",nan,Jason Callaway,2020
104,Mathematical Problems in Data Science: Theoretical and Practical Methods,Springer,"Li M. Chen, Zhixun Su, Bo Jiang",2016
105,Data science par la pratique,Eyrolles,Joël Grus,2017
106,Getting Started with Data Science: Making Sense of Data with Analytics,IBM Press,Murtaza Haider,2015
107,The Data Science Design Manual,Springer,Steven S. Skiena,2017
108,Python for Data Analysis: Master Deep Learning with Python Language and Become Great at Programming Python for Beginners with Hands-on Project (Data Science),nan,"Scratch, Jason",2020
109,"Assessing the Accuracy of Remotely Sensed Data: Principles and Practices, Second Edition (Mapping Science)",CRC Press,"Russell G. Congalton, Kass Green",2008
110,Data Analysis and Presentation Skills. An Introduction for the Life and Medical Sciences,Wiley,Jackie Willis,2004
111,Quantitative Data Analysis: Doing Social Research to Test Ideas (Research Methods for the Social Sciences),Jossey-Bass,Donald J. Treiman,2009
112,Data Science Projects with Python,nan,Stephen Klosterman,2019
113,Python Programming for Beginners: Basic Language from Absolute Beginners to Intermediate. Learn Easily and Fast Data Science and Web Development in a Simple and Practical Way Step-by-Step,nan,MARK CODING,2020
114,"Data Science Projects with Python: A case study approach to gaining valuable insights from real data with machine learning, 2nd Edition",Packt Publishing,Stephen Klosterman,2021
115,Beginning Data Science with R,Springer International Publishing,Manas A. Pathak (auth.),2014
116,"Practical Data Science Cookbook: Data pre-processing, analysis and visualization using R and Python",Packt Publishing,"Prabhanjan Tattar, Tony Ojeda, Sean Patrick Murphy, Benjamin Bengfort, Abhijit Dasgupta",2017
117,Practical Web Scraping for Data Science: Best Practices and Examples with Python,Apress,"Seppe vanden Broucke, Bart Baesens",2018
118,Modern Data Mining Algorithms in C++ and CUDA C: Recent Developments in Feature Extraction and Selection Algorithms for Data Science,Apress,Timothy Masters,2020
119,Python for Data Science,John Wiley & Sons,"Luca Massaron, John Paul Mueller",2019
120,"Python for Data Analysis: A Basic Programming Crash Course to Learn Python Data Science Essential Tools, Pandas, and Numpy with Questions and Answer from Beginners to Advanced",nan,Oscar Scratch,2019
121,Data Science: Concepts and Practice,Elsevier,"Vijay Kotu, Bala Deshpande",2018
122,Statistical Inference via Data Science: A ModernDive into R and the Tidyverse,CRC Press,"Chester Ismay, Albert Y. Kim",2019
123,Data Science and Machine Learning: Mathematical and Statistical Methods,CRC Press,"Dirk P. Kroese, Zdravko I. Botev, Thomas Taimre, Radislav Vaisman",2020
124,"SQL for Data Science: Data Cleaning, Wrangling and Analytics with Relational Databases",Springer,Antonio Badia,2020
125,Statistics for Data Science,Packt Publishing,James D. Miller,2017
126,Data Science for Financial Econometrics,Springer,"Nguyen Ngoc Thach, Vladik Kreinovich, Nguyen Duc Trung",2021
127,"Numerical Python: Scientific Computing and Data Science Applications with Numpy, SciPy and Matplotlib",Apress,Robert Johansson,2019
128,"AI for Data Science: Artificial Intelligence Frameworks and Functionality for Deep Learning, Optimization, and Beyond",Technics Publications,"Zacharias Voulgaris PhD & Yunus Emrah Bulut [Voulgaris, Zacharias PhD & Bulut, Yunus Emrah]",2018
129,Principles Of Managerial Statistics And Data Science,John Wiley & Sons,Roberto Rivera,2020
130,Modern Data Science with R,CRC,"Benjamin Baumer, Daniel Kaplan, Nicholas Horton",2017
131,Python Data Science Handbook:  Essential Tools for Working with Data,O’Reilly Media,Jake VanderPlas,2016
132,Clean Data - Data Science Strategies for Tackling Dirty Data,Packt Publishing,Megan Squire,2015
133,Data Science at the Command Line,O’Reilly,Jeroen Janssens,2015
134,"Learning to Love Data Science: Explorations of Emerging Technologies and Platforms for Predictive Analytics, Machine Learning, Digital Manufacturing and Supply Chain Optimization",O'Reilly Media,Mike Barlow,2015
135,"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control",Cambridge University Press,"Steven L. Brunton, J. Nathan Kutz",2019
136,"Python for Data Analysis: The Ultimate Beginner's Guide to Learn programming in Python for Data Science with Pandas and NumPy, Master Statistical Analysis, and Visualization",nan,"Foster, Matt",2020
137,Analytical Skills for AI and Data Science: Building Skills for an AI-Driven Enterprise,O'Reilly Media,Daniel Vaughan,2020
138,Machine Learning Algorithms - Popular algorithms for data science and machine learning,Packt Publishing,Giuseppe Bonaccorso,2018
139,Data Science For Wind Energy,Chapman And Hall/CRC,Yu Ding,2020
140,Modeling Techniques in Predictive Analytics with Python and R: A Guide to Data Science,PH Professional Business,Thomas W. Miller [Thomas W. Miller],2014
141,Data Science para Negócios,Alta Books,"Tom Fawcett & Foster Provost [Fawcett, Tom]",2018
142,Hands-on DevOps: Explore the concept of continuous delivery and integrate it with data science concepts,Packt Publishing,Sricharan Vadapalli,2017
143,Data Science and Analytics with Python,Chapman and Hall/CRC,Jesus Rogel-Salazar,2017
144,"Thoughtful Data Science: A Programmer’s Toolset for Data Analysis and Artificial Intelligence with Python, Jupyter Notebook, and PixieDust",Packt Publishing,David Taieb,2018
145,Master Data Science and Data Analysis With Pandas,nan,Arun Kumar,2020
146,"Cleaning Data for Effective Data Science: Doing the other 80% of the work with Python, R, and command-line tools",Packt Publishing - ebooks Account,David Mertz,2021
147,An Introduction to Data Science,"SAGE Publications, Inc","Jeffrey S. Saltz, Jeffrey M. Stanton",2017
148,Applied Data Science: Lessons Learned for the Data-Driven Business,Springer Nature Switzerland,"Martin Braschler, Thilo Stadelmann, Kurt Stockinger",2019
149,A collection of Advanced Data Science and Machine Learning Interview Questions Solved in Python and Spark  (II): Hands-on Big Data and Machine ... Programming Interview Questions) (Volume 7),CreateSpace Independent Publishing Platform,Dr Antonio Gulli,2015
150,"Managing Your Data Science Projects: Learn Salesmanship, Presentation, and Maintenance of Completed Models",Apress,Robert de Graaf,2019
151,Data Science With Python And Dask,Manning Publications,Jesse C. Daniel,2019
152,"Hands-On Data Analysis with Pandas: A Python data science handbook for data collection, wrangling, analysis, and visualization",Packt Publishing,Stefanie Molin,2021
153,"Business intelligence, analytics, and data science a managerial perspective",Pearson,"Delen, Dursun, Sharda, Ramesh, Turban, Efraim",2018
154,Introduction to Statistical Data Analysis for the Life Sciences,CRC Press,"Claus Thorn Ekstrøm, Helle Sørensen",2014
155,"Python Data Science: Learn Python in a Week and Master It. An Hands-On Introduction to Big Data Analysis and Mining, a Project-Based Guide with Practical Exercises (7 Days Crash Course, Book 3)",nan,"Academy, Computer Programming",2020
156,Data Science and Classification,Springer,"Vladimir Batagelj, Hans-Hermann Bock, Anuka Ferligoj, Ale iberna",2006
157,Jupyter for Data Science,Packt Publishing,Dan Toomey,2017
158,Statistics: The Art and Science of Learning From Data,Pearson,"Alan Agresti, Christine A. Franklin, Bernhard Klingenberg",2017
159,"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud",Pearson,Paul J. Deitel & Harvey M. Deitel [Paul J. Deitel],2019
160,"Python Data Analytics: Data Analysis and Science Using Pandas, matplotlib, and the Python Programming Language",Apress,Fabio Nelli (auth.),2015
161,Data science for dummies,John Wiley and Sons,"Lillian Pierson, Jake Porway (foreword)",2015
162,Python Data Science Handbook: Essential Tools for Working with Data,O’Reilly Media,Jake VanderPlas,2016
163,Data science and complex networks : real cases studies with Python,Oxford University Press,"Caldarelli, Guido, Chessa, Alessandro",2016
164,The Essentials of Data Science: Knowledge Discovery Using R,"Chapman and Hall/CRC;Chapman & Hall, Williams, Graham",Graham J. Williams,2017
165,"Beginning Data Science in R: Data Analysis, Visualization, and Modelling for the Data Scientist",Apress,Thomas Mailund (auth.),2017
166,Sports Analytics and Data Science: Winning the Game with Methods and Models,Pearson FT Press,Thomas W. Miller,2015
167,Essential Statistics for Non-STEM Data Analysts: Get to Grips with the Statistics and Math Knowledge Needed to Enter the World of Data Science with Python,Packt,Rongpeng Li,2020
168,Geographical Data Science and Spatial Data Analysis: An Introduction in R (Spatial Analytics and GIS) 1st Edition,nan,Lex Comber,2021
169,Practical Data Science: A Guide to Building the Technology Stack for Turning Data Lakes into Business Assets,Apress,Andreas François Vermeulen,2018
170,Data Science with SQL Server Quick Start Guide,Packt Publishing,Dejan Sarka [Dejan Sarka],2018
171,Data Science for Business: What you need to know about data mining and data-analytic thinking,O'Reilly Media,"Foster Provost, Tom Fawcett",2013
172,Data Science with Python and Dask,Manning Publications,Jesse C. Daniel,2019
173,"Python Deep Learning: 7 Days To Master Machine Learning, Data Science and Artificial Intelligence: Data Science Degree",UNKNOWN,"Dwain Debrot [Debrot, Dwain]",2021
